"Name","Runtime","Hostname","Notes","GPU Type","Tags","config.epochs","config.input_dim","config.lambda_reg","config.learning_rate","config.reduced_dim","final_test_metrics.geodesic_distance","final_test_metrics.mae","final_test_metrics.mse","final_test_metrics.pearson_corr","final_test_metrics.r2","final_train_metrics.geodesic_distance","final_train_metrics.mae","final_train_metrics.mse","final_train_metrics.pearson_corr","final_train_metrics.r2","test_mse_loss","test_pearson","train_mse_loss","train_pearson"
"shared_transformer_transcriptome_SC_schaefer_fold4_final_eval","1","gh002.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_schaefer, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_4, parcellation_S100, split_schaefer1, target_SC","100","10760","0","0.00009","","1.5944450425304046","1.810938272948265","4.500048240779469","0.8971150559843545","0.7059983270076822","7.926982826469893","0.5968680798774124","0.6789945625724877","0.9688897057393916","0.9331468726863128","4.5000481605529785","0.8971148133277893","1.5277815636085428","0.9256498988555826"
"dynamic_mlp_euclidean_SC_schaefer_fold4_final_eval","1","ga014.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_4, parcellation_S100, split_schaefer1, target_SC","150","6","","0.0003","","3.526295994947068","1.9818820844841003","8.24217268129681","0.8449095259509521","0.46151409324156334","13.33643997025434","1.0353243188393957","4.8392666722426325","0.7465368801341324","0.5235306307629193","0.19400128722190857","0.8449095487594604","0.11495203541024872","0.6947050800789958"
"dynamic_mlp_euclidean_SC_schaefer_fold0_final_eval","0","ga014.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_0, parcellation_S100, split_schaefer1, target_SC","150","6","","0.0003","","3.617549627384707","1.8083897547158243","6.742899685268925","0.81116078490199","0.6480205822022622","11.559418224908844","1.188793961297529","5.649901832057864","0.7322144867898779","0.4870989948361096","0.1834099640448888","0.7664970556894938","0.1301907175411917","0.6841596005714103"
"shared_transformer_transcriptome+euclidean_SC_schaefer_fold4_final_eval","1","gh002.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_schaefer, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_4, parcellation_S100, split_schaefer1, target_SC","200","10763","0","0.0001","","2.7324699926704423","3.108160297150612","14.669044897667227","0.8062223063189695","0.0416272203414052","11.421214992459168","1.1008262354361222","3.985899944137555","0.7859173807806522","0.6075522675535424","14.66904354095459","0.8062223196029663","2.368142226467962","0.879898647899213"
"dynamic_mlp_euclidean_SC_schaefer_fold1_final_eval","1","ga014.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_1, parcellation_S100, split_schaefer1, target_SC","150","6","","0.0003","","3.37139512340467","2.0644845692265164","9.73023207831351","0.7542162391337958","0.4255757807370125","11.29182091463822","1.0147634375118677","4.517030661815673","0.7807813863656848","0.5761716110533839","0.2005432695150375","0.7736479043960571","0.11396399235878236","0.7353896659154159"
"xgboost_euclidean_SC_schaefer_fold6_final_eval","1","ga021.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_6, parcellation_S100, split_schaefer1, target_SC","","","","0.3","","5.555033200309746","1.9270594791369164","6.339158988015121","0.7353210004405955","0.5272608619908961","11.63894090624346","1.632653852734586","4.320887767501135","0.7705178442426744","0.5902674763315034","","","",""
"shared_transformer_transcriptome+euclidean_FC_schaefer_fold7_final_eval","1","gh002.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_schaefer, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_7, parcellation_S100, split_schaefer1, target_FC","200","10763","0","0.0001","","4.275255605362929","0.09272631743386588","0.0108457296674905","0.7295899883659452","-1.7264070310431965","9.166218071763833","0.06625458269397383","0.009674246795677674","0.6615499928210082","0.31768618290424666","0.0111374044790864","0.7200199365615845","0.003030977379053067","0.890749304722517"
"shared_transformer_transcriptome+euclidean_SC_schaefer_fold6_final_eval","1","gh002.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_schaefer, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_6, parcellation_S100, split_schaefer1, target_SC","200","10763","0","0.0001","","4.997359555705092","1.6988581944292438","6.634635839957999","0.7275845310292369","0.5052258455867946","10.282623859972889","1.2075387753062727","4.516988841779923","0.7650524830738056","0.5716719949439324","6.8789290428161625","0.6954045772552491","2.6311952670415244","0.8709684496834165"
"dynamic_mlp_euclidean_SC_schaefer_fold6_final_eval","1","ga014.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_6, parcellation_S100, split_schaefer1, target_SC","150","6","","0.0003","","6.019157643919846","1.4626890881269738","8.08265371904589","0.6992932962426563","0.3972407445227625","10.282381994353692","1.030173653106327","4.568329941160845","0.7730384110722625","0.5668035236136932","0.13619424700736998","0.7061148166656495","0.11603864802727624","0.7174711653164455"
"shared_linear_encoder_transcriptome_SC_schaefer_fold4_final_eval","1","ga014.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_linear_encoder, omit_subcortical_False, outerfold_4, parcellation_S100, split_schaefer1, target_SC","125","21520","0.0001","0.0001","","2.0343374897624034","3.219332147712708","11.945296818541204","0.6882111868691586","0.21957786647358013","14.04862429099473","1.6262332161857027","4.485276867240645","0.7714439627333913","0.5583841138480932","11.946587562561035","0.6882114410400391","5.543967967448027","0.6745917693428372"
"xgboost_euclidean_SC_schaefer_fold3_final_eval","1","ga021.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_3, parcellation_S100, split_schaefer1, target_SC","","","","0.3","","5.922874820819242","1.9594842421401633","7.011808057422752","0.6775196572706997","0.4487302761496502","14.227317325918294","1.620299640087192","4.336679322777962","0.7622563140459732","0.577709545661014","","","",""
"shared_transformer_transcriptome+euclidean_SC_schaefer_fold5_final_eval","1","gh002.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_schaefer, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_5, parcellation_S100, split_schaefer1, target_SC","200","10763","0","0.0001","","3.651917424787215","1.649348093171227","7.567347158732344","0.6697777251762869","0.4119487163889272","11.469045159524097","1.0295417929691286","3.639575254315969","0.8175963956740028","0.6501450964896537","9.153502941131592","0.5950434058904648","2.5544425656523884","0.8716911145403415"
"xgboost_euclidean_FC_schaefer_fold4_final_eval","0","ga021.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_4, parcellation_S100, split_schaefer1, target_FC","","","","0.3","","1.0702894419118685","0.038087134529045295","0.0026109174434145225","0.661602288928726","-0.2043125974850326","9.258601326773466","0.05239249996476743","0.005514511033538386","0.8020048725401651","0.6395933233013982","","","",""
"xgboost_transcriptome_FC_schaefer_fold0_final_eval","1","ga021.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_0, parcellation_S100, split_schaefer1, target_FC","","","","0.01","","3.6019466089286705","0.22277628711976388","0.07553500078037514","0.6481700665449379","-1.1737170686719591","9.24138025458886","0.05788577961729794","0.006568083982008566","0.7818436726508822","0.5346964679152588","","","",""
"xgboost_transcriptome_FC_schaefer_fold0_final_eval","1","ga021.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_schaefer, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_0, parcellation_S100, split_schaefer1, target_FC","","","","0.01","","3.6019466089286705","0.22277628711976388","0.07553500078037514","0.6481700665449379","-1.1737170686719591","9.24138025458886","0.05788577961729794","0.006568083982008566","0.7818436726508822","0.5346964679152588","","","",""
