,ADAR,ADFL,ADLL,ADLR,AFDL,AFDR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AWAL,AWAR,AWBL,AWBR,BAGL,BAGR,FLPL,FLPR,OLLL,OLLR,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIR,RIS,RIVL,RIVR,RMFL,RMFR,RMGL,RMGR,URBL,URBR,URXL,URXR
ADAR,0,0,0,860160,0,0,36480,290400,0,92640,0,0,0,0,0,1440,0,1479840,0,0,0,0,0,4174080,0,0,0,0,0,374160,0,0,2934960,901920,1222560,4602240,312720,374880,0,201120,16560,418320,0,1270560,0,40080,0,0,0,135840,0,167760,0,0,12480,650160,0,0,0,348720,0,0,2300160,1224960,0,491280,0,0,74640,0,5661360,0,0,0,241440,44880,0,212160,0,981600,0,1482720,0,4595040
ADFL,0,0,1018320,0,1360320,0,322080,331680,656400,0,0,15360,1064640,0,7089840,289440,0,0,830160,4080,221280,0,702480,0,0,0,0,0,0,0,4596000,116400,0,0,181680,0,0,0,0,0,9120,3120,1138800,0,0,0,0,0,2958480,0,5348880,167760,0,90000,0,0,0,0,2243520,0,809760,5760,0,0,0,6240,377040,0,1097760,248640,0,0,2905920,0,0,0,114480,0,0,0,0,0,2550240,0
ADLL,0,1018320,0,476640,0,0,4931520,0,0,0,0,0,156240,0,960,0,1335840,0,3029040,0,234720,0,5445600,0,49680,0,0,0,5131920,0,0,0,1904880,0,218640,0,346080,1254480,0,0,450960,0,678720,571920,259680,0,0,0,4686480,0,3016560,0,0,0,0,0,182160,0,0,0,0,0,0,0,0,0,0,0,0,426720,0,0,86160,0,0,0,115200,0,42720,0,93840,0,12240,0
ADLR,860160,0,476640,0,0,72240,0,3653040,0,0,0,0,0,0,0,20160,857280,7200,0,3571200,0,0,0,2378400,0,31200,0,1200,147600,3019200,0,0,126480,1544880,0,12000,1311840,273840,0,0,464880,2259600,346560,209760,198960,0,0,0,0,4694880,0,2113920,0,0,0,0,0,110160,0,0,0,0,7440,0,0,555120,0,10320,0,0,0,0,14880,0,0,0,0,0,0,106800,0,55680,0,9840
AFDL,0,1360320,0,0,0,304320,1067520,0,0,0,2293440,7055280,9176880,27360,1251600,0,0,0,1050000,5406240,40560,0,0,0,534960,0,0,0,0,0,7678800,304320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3128640,0,241920,0,0,2085600,0,0,28560,0,14400,0,135360,0,0,0,617280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231120,0
AFDR,0,0,0,72240,304320,0,0,769200,0,0,6994320,1850400,87360,7715760,0,1943760,0,0,3936720,1412160,0,2400,0,0,0,1071360,0,0,0,0,0,6434640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412320,0,993120,2106000,0,0,0,0,6720,0,13920,0,0,0,0,580560,0,0,0,0,0,12960,0,24000,0,0,1680,114480,0,0,0,0,0,0,0
AIBL,36480,322080,4931520,0,1067520,0,0,1027920,0,0,1037040,446880,1926480,0,1764480,4918800,0,1158720,6956640,1568880,1197840,0,1159200,0,1693920,0,15600,0,1861680,0,390960,187680,3016320,586800,3077520,0,957120,311280,986160,100800,0,0,0,0,0,2500800,1119840,1725840,137520,0,88800,0,1104960,225360,319440,684960,10800,74160,0,123120,71520,1874880,0,0,0,0,139920,3919440,0,404400,6158160,0,727920,486480,1539600,115920,1939680,4482960,0,332880,0,0,0,215520
AIBR,290400,331680,0,3653040,0,769200,1027920,0,0,14880,160320,901200,4080,1764480,4560240,1004400,0,1031040,397200,6786720,0,1083120,0,3181440,100080,919200,0,14160,0,1594560,183600,461760,1337280,3981600,0,3329040,198480,224400,1307520,720240,0,0,0,50640,0,3073200,692880,879360,0,32160,213120,372720,46800,814800,556320,0,0,11280,268800,0,2577600,114000,175680,0,315600,592080,3564480,0,0,5404320,686160,0,270960,748560,0,2027760,4047600,1202160,870240,0,0,0,3120,0
AIML,0,656400,0,0,0,0,0,0,0,366240,0,0,1378800,0,672480,0,9120,0,0,0,5657040,0,330240,0,16080,0,5037840,309600,1364640,0,20880,0,0,0,313440,381600,276960,19680,117840,91680,1836480,87360,410880,211440,64320,39840,0,0,113040,0,895920,0,0,0,0,0,0,0,0,0,0,0,984000,0,0,0,237840,0,0,0,0,0,0,0,0,0,0,0,2964480,0,0,0,3723840,0
AIMR,92640,0,0,0,0,0,0,14880,366240,0,0,0,0,494880,0,376800,720,0,0,58560,0,5500320,0,382560,0,56400,0,5707200,0,2514720,0,0,0,20160,0,0,7200,430800,262320,240960,1293360,0,149520,108720,138720,0,401760,0,0,483840,0,595440,0,0,0,131040,0,0,0,0,0,0,0,350400,0,1379760,0,0,0,0,0,0,0,0,0,0,0,0,0,1961520,0,0,0,2862720
