,ADAL,ADAR,ADEL,ADER,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,AIAL,AIAR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,BDUL,BDUR,CEPDL,CEPDR,CEPVL,CEPVR,DVA,DVC,FLPL,FLPR,HSNL,HSNR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVQL,PVQR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,RIS,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SAADL,SAADR,SAAVL,SAAVR,SABD,SDQL,SDQR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB01,VB02,VC01,VD01
ADAL,0,718,9581,263,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404,1010,0,2846,0,4595,0,0,0,114,0,0,0,0,0,0,0,0,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,370,2427,0,596,0,616,0,0,0,0,0,14366,9787,3811,1135,0,0,0,0,0,0,3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4178,0,0,0,0,0,0,0,5268,0,0,0
ADAR,0,0,91,6139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1030,0,1567,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,61,0,1044,0,44,2215,0,0,0,0,0,10490,6106,0,0,3331,0,0,0,0,0,0,6711,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,0,0,0,0,0,0,0,0,0,0
ADEL,0,0,0,37158,0,0,0,0,0,0,0,0,0,0,0,0,3652,789,0,0,0,0,1688,0,0,9707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,516,1765,0,0,0,73,3240,1641,0,0,0,0,0,0,0,0,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,0,1584,0,0,0,0,0,0,0,0,2681,0,7905,8857,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,11842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6655,0,0,0,0,0,0,0,3531,594,0,0
ADER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,9012,0,0,0,0,4034,0,0,0,15680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,3747,1473,198,1183,0,0,0,0,0,0,0,0,0,0,4708,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,1431,0,0,0,0,3138,0,0,0,0,0,0,0,0,0,3052,11428,2509,0,0,0,0,0,1655,0,0,0,0,0,0,0,0,0,0,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8676,0,0,0,0,0,0,2409,0,0,0
ADFL,3451,0,0,0,0,0,0,0,9888,0,0,0,0,0,4623,0,0,0,0,0,0,0,0,0,0,0,0,277,4289,321,739,0,0,0,0,0,0,0,0,0,28883,23,0,0,0,0,0,0,0,0,0,0,0,4388,0,0,0,0,0,0,21603,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,988,2657,0,3398,0,399,0,0,0,0,14803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
ADFR,0,3315,0,0,97,0,0,0,0,151,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,4207,5250,3616,0,0,0,0,0,0,0,0,0,0,388,23699,0,0,0,0,0,0,0,0,0,0,28747,0,0,0,0,0,0,0,0,27601,0,0,0,0,5087,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,14232,0,0,0,0,0,0,0,0,0,0,0,0,3401,0,7546,5012,0,0,0,0,21316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0
ADLL,7654,0,140,0,2044,0,0,5217,0,0,7632,0,17694,0,101,0,0,712,170,0,91,0,13699,1692,0,0,0,62,10249,18367,1970,0,0,0,0,0,82,0,0,0,0,0,7798,444,6951,0,917,8237,723,0,1533,2076,0,8913,1401,1090,0,0,0,0,30460,0,22731,0,0,1703,0,0,633,0,0,0,25,0,1279,0,0,0,0,0,344,0,191,0,0,0,0,0,579,0,0,0,1321,0,0,0,1446,0,0,0,0,1776,0,0,1761,0,10946,0,161,0,0,0,0,0,173,1040,2123,2768,0,214,0,0,1435,0,655,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,913,0,0,503,0,0,0,767,0,200,0,18485,0,0,0,0,0,0,0,0,0,0,0,1801,0,86,0,272,0,0,0,0,0
ADLR,0,10956,0,254,0,109,0,0,0,0,509,10473,214,23578,0,0,0,0,0,120,0,0,5439,0,302,0,0,0,0,25536,0,496,0,0,0,2029,0,41,0,0,0,0,0,3455,520,1189,5830,243,0,0,0,40,5932,0,2530,270,0,0,0,0,0,27967,0,18213,0,15714,0,0,0,96,0,0,0,16239,0,0,0,0,0,0,0,43,0,340,0,190,0,0,0,691,0,0,0,787,0,0,0,5597,0,0,5875,1059,0,0,0,3249,0,7127,264,0,0,0,0,0,2568,5050,141,0,2721,0,0,0,0,0,0,282,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,941,0,0,0,0,0,0,0,0,829,1111,741,0,150,0,28894,0,0,0,0,0,0,0,287,0,5798,0,8225,0,0,0,255,0,0,0,0
AFDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3414,30346,0,0,0,0,0,0,0,0,0,0,4627,14584,0,0,0,0,0,0,0,0,0,0,24068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17995,0,0,0,0,0,0,1788,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,96,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0
AFDR,0,0,0,0,0,0,0,0,873,0,0,0,0,0,0,0,28856,13351,0,0,0,0,0,0,0,0,0,0,15279,8217,0,0,0,0,0,0,0,0,0,0,40,23131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21608,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3382,0,0,0,796,0,0,0,0,0,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
