,ADAR,ADFL,ADLL,ADLR,AFDL,AFDR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AWAL,AWAR,AWBL,AWBR,BAGL,BAGR,FLPL,FLPR,OLLL,OLLR,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIR,RIS,RIVL,RIVR,RMFL,RMFR,RMGL,RMGR,URBL,URBR,URXL,URXR
ADAR,0.507742897458021,-0.0039878359355225,0.03139817903713,-6.66e-05,0.0201771225477461,,,,0.0720240258457782,0.0739429206646089,-0.0115842573864182,-0.0236464769008443,0.132430783804594,0.0403881922238874,0.049252289790959,0.0263929777511987,-0.0156891240421253,0.200478011014048,0.0459421535222687,0.082531358606466,0.0329104328660862,0.0491131962339324,-0.0282962993083,0.0178040274255288,0.0575156599488602,0.0118127691007293,-0.03531552823784,-0.0238894407154535,0.0102524741017354,,0.319758537086804,0.0454387114333042,0.0093480851808638,0.0162419470229303,-0.0552073856644944,0.0320671469691156,-0.0102048322535916,0.191797985112081,-0.0003265399436135,0.0258785059263936,,0.0273954120092476,-0.0136022750927852,0.0563656400196624,0.0338396732356347,0.125365955716001,0.0241230185292632,,0.045157321395692,0.0416646163013715,0.0197467128754159,-0.0078299581458593,-0.0094646331875437,0.0340249331490701,0.0553082264489088,0.13539706536849,0.0103564838749509,0.0032285360249745,0.0164270883630266,0.0240576588403119,-0.0071616006310014,0.0184830685419251,-0.0021524080635454,-0.036056779186633,0.117851893518706,,-0.0338898629710834,0.0367555178850811,0.0193747535438267,0.0018338334215738,0.0459473512873515,0.0094236945407094,0.020977980651289,0.0344205242891628,-0.0046077546194121,-0.0212168898530783,0.0416367102609262,0.0190045602849081,0.0079701600874558,0.508324995796318,-0.0319007203885707,0.0097694927416597,0.0290242608239646,0.0130202205664754
ADFL,,0.149320816062221,,0.0384350416094042,,0.102786844200024,,,,,-0.0318382464989836,0.0137808882460666,,0.0387652541975837,0.106118397251841,0.0175204708483363,,,0.127344567714163,,0.0461903204550232,,,,0.0261935491316021,,0.0263451172815301,,0.150834084602746,,,-0.0352367927554562,,0.221469320814236,,,0.0777843215274237,,,,,,,0.0477630331884122,-0.362333983157816,,0.0599215607579634,,0.0842429150783863,,-0.0096534556981335,0.380868376908403,0.0262790067081735,,,,0.0472921591252392,-0.0247974459506903,,,,,0.007999292187792,,0.133852092324817,,-0.0284628012865464,-0.0324466293910576,,,0.10810638548279,,,,,,-0.0036659149310654,,,,,,,-0.0039571230531673
ADLL,0.0106819496161312,-0.0596638604797119,0.271304424482161,0.199479249925942,-0.0286922078213196,-0.0237745569823619,-0.0060168265730513,0.0021851018525537,0.0221883456187709,0.064704911543912,-0.028933539444574,0.0237406536809984,0.0039910356953426,-0.0869468790990984,-0.0095577345381115,-0.0459420839001587,0.228672861153071,-0.0356395759637252,0.327080568374686,0.433933358457214,0.54586201058023,-0.00413554829766,0.0893952834976954,0.0444135652862095,0.266551525911017,,0.0646807724240021,0.0279922130991707,0.158024152205434,0.110545292834616,0.0567863284069749,,0.0053438896384692,-0.0169956778767399,,0.312887848776253,0.0182212682184582,0.0340747441849443,0.149000377804168,0.0427514540138328,,0.177915385352955,0.128125985230737,0.0494895770792402,0.246628825440745,0.0243363611419249,-0.0371849848805045,-0.0378748240964251,0.0350281037431285,0.104350057291899,0.136276657404587,0.0968742852616464,0.0284223837690526,0.0279961590640685,-0.0246142794907226,-0.0225661268966434,0.0378798327262466,0.0086617165909771,,0.0885607714287474,-0.00247337312708,,-0.0101434116919129,0.0192870092084808,,-0.0360620669825603,-0.0163276977028584,-0.0075315487782455,0.0366111049110027,0.025005374925422,-0.0044410489764113,0.0485035624798442,0.276223402384712,,0.168130747074858,0.0013983786906272,-0.118541895715331,,,,-0.0147727249376634,0.0878660482192079,0.0463458962704779,0.0742478282744155
ADLR,-0.048337153903319,0.0201469369556755,0.258941583010627,0.383452482221328,0.0758114150366868,-0.0104178420730917,-0.0165080748053794,,0.124253249144783,-0.0055836521352627,-0.251631259041301,-0.0211140266746616,-0.0318391440854385,-0.0319910127352001,-0.0225187223636536,0.141665447892526,,0.0375694978473132,0.0634394113258321,0.0721159581579981,0.0435574903719243,-0.0608779144001025,0.0380343630644164,0.0216338035215516,,0.317439965047041,0.0085300960924503,0.0255077812770519,0.109376363444611,0.170071179637767,-0.0558406204438798,-0.0298574091857975,-0.0709406500087507,-0.0404679157577832,0.113579662135756,0.495876512955097,0.0203154585990723,-0.004369341813638,0.0169044302688973,0.0738649935102172,0.103039239842526,0.0862421433087749,0.0313229882395187,0.0618399118310845,0.173878364948768,-0.0468291928954478,0.0285014231647366,,0.0422340351107498,0.075537178072493,0.0186395022552281,0.108464602725229,-0.0318294742218748,0.012351271452363,0.147256134544855,0.0079416406084857,0.0064667809334361,0.0120110745519908,0.0743163750683183,0.220177157683077,,,0.0156286183110638,0.0112167893223092,,,0.181808937305154,0.0286093912542396,,0.0292093042995911,0.157444526217791,-0.340289238489207,0.0679491140565059,0.149895338060955,-0.0383497769856768,0.0339720739532293,,0.0711048024979234,0.0781775158059073,0.0915355249060143,-0.0064419253167732,-0.0169002844397041,0.0552122778086187,0.0779232942589715
AFDL,0.0170269126628766,0.121452481472869,0.0248470089947647,0.0883586613829505,0.2241500871682,0.210311790525616,,,0.0087803879403976,-0.0052538733551068,-0.026571141104238,0.0016199378024994,-0.0038097581385872,-0.0132380660098883,0.0258780559356803,0.0061611100149967,0.047012351883381,-0.0259147609735634,0.086578991791464,-0.0202169012243116,0.069587768252252,0.122373946981228,0.0946006086889861,-0.0552627441132936,-0.0177017843535206,0.029394621338439,-0.0075152624006755,,0.0695661799103472,,,-0.0681771600087702,0.243635586201228,0.265328408925471,-0.064562865496831,0.111634742810656,-0.0061741563717726,-0.0124796095344472,0.162680796942915,0.188028948334075,,-0.0064696320017797,-0.018747698015577,0.0060232232986646,0.0043499369753946,-0.0482538058045212,-0.0216967578494988,,-0.037162845711276,0.214891765087587,0.0601601521104233,0.0513014296429971,-0.044776122121138,,-0.105684151096384,-0.0519367458653024,-0.0149550933311817,0.0660816149281576,0.166505319206171,0.0669464728244404,-0.0134528058783944,-0.019488508545676,0.0363612619230345,-0.0499307568612039,-0.0501359596206096,,0.0491913336093214,0.0109059650856402,0.11478222994024,0.0042201997298374,0.0024195481184987,0.0590692401503556,0.0070516511082993,0.0219639693159712,-0.0204150635397085,0.0166483726717034,0.0238983547533871,-0.005387596437977,0.0412082787631205,,0.0126558838798409,-0.0006225852845895,0.107318846432429,0.0392532296761709
AFDR,0.0600582263091684,0.135325811487783,0.028710165890517,0.0126970122483964,0.109442961342326,0.345525544601946,-0.0563954832064599,,0.0048656585116528,-0.0008639435164509,0.0017029389274773,-0.0347639344211374,,-0.103851400880186,-0.0021369946144134,0.0173699974816534,0.0085933676590876,-0.0004091054153704,0.0089526762379323,,0.0356510849150943,,0.163692245767494,0.355385448735506,0.0206753395582959,0.0281001592243205,-0.0127484339017849,0.0788681661445006,0.0498763044328666,,-0.0009307183154785,-0.0993276693033714,0.0127178126231578,0.244174618474391,,-0.259235194409411,0.17915227351537,0.0154352992226953,0.173388258912143,,,-0.0572986465252115,0.0832592374669498,-0.0001644506496165,0.0397625983544355,0.0279342265370156,-0.0240353894151737,,-0.0183481136137126,0.173951637877377,0.0363567143939695,0.178527692922696,0.0085369614398759,,-0.133371107887741,0.003651742675656,0.0093956897521478,0.09705599344061,,0.0921903228356877,-0.0151870762238377,0.0137060611916957,,-0.0004089566596012,-0.0900245449398541,,0.0650186076909307,0.0269412944204731,,0.0452248003971216,-0.0180239390961631,-0.0142717420094417,-0.0258278002391281,-0.0515017258051816,0.0125517183899914,0.0046475165475876,0.0170281237763942,0.041499164569596,,,-0.0132065803848563,-0.080855335894991,0.0402217855372971,-0.00811006355855
AIBL,-0.0216478796182086,,-0.0123401140597942,0.119973172444017,0.0448600259683804,-0.0201473958105233,0.271990576443867,,0.106782983410189,-0.0626155999535685,,0.0932689688927035,0.006207293476059,,,,,0.124688140423135,,0.388547218490783,,,,-0.0285390449546177,,,,0.297166587476095,0.0119604652554223,,,,,,,0.032910662778918,,-0.005058454348753,0.280052179455912,-0.0235429725839149,,0.0655131689406894,0.0063283832551711,0.0054463509295208,0.392480829034544,,,,0.10070602521284,0.035322920844211,0.401493138412797,,,0.193228916669078,-0.0057508530026213,0.0170553716695341,0.0773214588224665,,0.652633973234706,0.19132811682042,0.0467209932454028,0.266526214032853,,0.0101842473687499,0.0170853434290919,,,,-0.0157717465073377,0.257479462445594,0.0140574453772646,,0.272969668692335,0.27835637239107,,-0.0070633561676386,,,0.0296481720692274,,0.100368685357977,,0.0187212240128315,-0.0288582280583003
AIBR,0.0013323620505069,,,0.0809592539266512,,,,0.0933465240032936,0.0606894401685493,0.0910468385152752,,,-0.0351127590838082,,,,,,,,0.0287417737841728,,,0.0192694010380216,,0.0827087647007372,0.0772848650344626,,,,0.0152306397636574,-0.16525941511611,,0.0269415856725411,,,0.137600229171966,-0.002404882051805,0.410529436585521,-0.0033581939609713,,,,0.171719542043028,0.150226738748988,,,,,,0.120694848419155,,,,,0.0163320827252903,,0.0848287564071042,,0.0112537774878508,,,,,-0.018904148978688,,0.0310329105631932,-0.039389422371478,0.0109772074828292,0.0300211340297082,0.0410404945624791,,,,0.0346989260008259,0.0616447374744858,,,0.17201270205776,,,0.0028778821161942,,-0.0583186690823554
AIML,0.0302169831396432,0.0495482976162767,-0.0283487264763567,0.0009243773083359,-0.0616175337756122,0.0611980199724624,0.0431721878456045,-0.115630538155931,0.64048424347866,0.708795244979608,-0.0026389912022451,-0.0256312087419152,0.296434993663208,-0.0580451196587783,0.211501160419608,0.0681824299454718,0.0255795111693622,0.0249505140601526,0.0101966601385788,0.0481713893743671,0.0001973351340589,-0.0180182687246481,0.0058788366373107,0.0121580744887953,-0.017557562608874,0.0535520918940324,-0.0657908116942526,0.276802174103376,-0.0385540116121432,,0.0844421363597324,0.259859180828239,0.023251371291487,-0.0216449020197286,,0.0144418239312228,0.0320852747574956,0.0086338335354129,0.0825549504497894,0.0137664795777084,0.230963391616696,0.132046117187311,-0.0005985541434836,0.0069999750920964,0.057280508518623,0.0336693754412463,0.11147187656213,,-0.0177116113521399,0.0893560070657683,-0.0076776971453437,0.0205952541601653,0.0037867040561445,0.180419993201406,0.015677913069563,-0.0237806146454233,0.0683196398733604,0.0294587739336856,,0.100883020793094,,-0.0229107131090552,0.130502859701553,0.0681048543177119,-0.0099245023523342,0.147757453548667,0.0243362705085032,0.0614833054286575,0.0265694016080922,0.11282265145947,-0.009693040210512,-0.81887531839132,0.0693408352136846,0.16790382288996,0.0274110590446028,0.0399373861043247,-0.003219684871234,,0.0138359840201054,,0.0250511248477949,-0.0074859358394714,0.0356098741385168,0.0417432562911414
AIMR,0.0739353357121504,0.0065145626832163,0.0140297817761859,0.0433702298398489,,0.0748821350406176,0.0024180132498365,-0.0192781620510303,0.429214246131341,0.839934687247953,-0.0174760257478668,0.0061824639279441,0.125057841309082,0.117004576423805,0.0755633457921688,0.178869871004184,0.0342481303164995,0.0928235563457725,0.0266607868934997,0.0723910750848443,0.0230724526924774,-0.013620003387582,0.0225202467848622,0.0132786785340083,-0.0026576055284288,-0.007300501101594,0.0618293034993568,0.027303747288227,0.0218059671314889,,-0.00919313769542,0.174059608901718,0.0226390004759077,0.0298625279271591,0.033766141378387,0.0070831045530557,-0.0013701667999732,-0.009289063210692,0.0071951586201774,0.0394928536140595,0.116771016689373,0.0158657353813853,-0.0280449696981173,0.0138042021497918,0.0244582263722792,0.0025409826119913,0.0436510932676059,0.0355618059937621,0.0327145654974222,-0.00115344947892,0.0213225274572179,-0.0243771632496502,0.0770774497644276,-0.0213418633779141,-0.0052201238573863,0.0179408770014927,0.0120410297959416,-0.0381303687862605,0.049968616855655,0.0038761615542782,0.0485495580114929,0.0129857017510445,-0.052995405844461,-0.0150388675718815,0.0668292163358895,-0.0207756645020555,0.039227020940774,0.0504796128608163,0.0064372060557209,0.109319848124669,0.0628422785850206,,0.173919632538299,0.261384747489709,0.0024304094881037,0.0180941464835307,-0.0128150051790927,0.162707853798667,-0.041819826368822,0.0527804426169954,0.0591831727509111,-0.0340710607575536,0.0085324477455605,0.0434063226124146
