train_index,region_id
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
11,11
12,12
13,13
14,14
16,16
17,17
18,18
19,19
20,20
21,21
22,22
24,24
25,25
28,28
29,29
30,30
31,31
33,33
35,35
36,36
37,37
39,39
40,40
42,42
43,43
44,44
45,45
47,47
48,48
49,49
50,50
51,51
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
63,63
65,65
66,66
68,68
69,69
70,70
71,71
72,72
73,73
75,75
77,77
78,78
79,79
81,81
84,84
85,85
86,86
89,89
90,90
91,91
93,93
94,94
95,95
96,96
97,97
99,99
101,101
102,102
105,105
106,106
107,107
108,108
110,110
113,113
114,114
115,115
116,116
118,118
119,119
121,121
124,124
125,125
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
139,139
140,140
141,141
142,142
143,143
144,144
146,146
147,147
148,148
149,149
150,150
152,152
153,153
155,155
156,156
157,157
158,158
160,160
161,161
162,162
163,163
164,164
166,166
167,167
169,169
170,170
171,171
173,173
175,175
176,176
177,177
