"Name","Runtime","Hostname","Notes","GPU Type","Tags","config.epochs","config.input_dim","config.lambda_reg","config.learning_rate","config.reduced_dim","final_test_metrics.geodesic_distance","final_test_metrics.mae","final_test_metrics.mse","final_test_metrics.pearson_corr","final_test_metrics.r2","final_train_metrics.geodesic_distance","final_train_metrics.mae","final_train_metrics.mse","final_train_metrics.pearson_corr","final_train_metrics.r2","test_mse_loss","test_pearson","train_mse_loss","train_pearson"
"shared_transformer_transcriptome_FC_spatial_fold0_final_eval","1","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","100","10760","0","0.00009","","3.7440281714960792","0.04917571380990466","0.004576640164313648","0.7860859805535887","0.6156857004222299","6.132416727001195","0.031118033816880764","0.0019024182292113456","0.9453639495601184","0.8838498638122165","0.004590010309281449","0.7884982327620188","0.0028449190130200364","0.9142971634864808"
"xgboost_transcriptome_FC_spatial_fold0_final_eval","1","ga006.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","","","","0.01","","4.516910787212016","0.051845568611722015","0.0052818109323225304","0.7858477646369624","0.5564703808733542","8.668797483455558","0.04132461335391499","0.003651453422500291","0.9015467443904444","0.7770643669228422","","","",""
"xgboost_transcriptome_FC_spatial_fold0_final_eval","1","gh003.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","","","","0.01","","4.106080058606978","0.05381757091595418","0.005756057109267614","0.7786095988843741","0.5166464968063361","8.928918015024822","0.06699247060798548","0.008700594888008539","0.7157190996825619","0.46879436622310866","","","",""
"dynamic_mlp_transcriptome_FC_spatial_fold0_final_eval","1","gh010.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","150","21520","","0.0001","","6.517635382456362","0.0539378656860226","0.00538010015819689","0.744764884204811","0.548216737667474","6.905323892342996","0.022317802530024414","0.0011736926305984923","0.9641936279353992","0.9283414357614064","0.002309684680464367","0.7485556801160177","0.0024263097398818053","0.7046630536687786"
"dynamic_mlp_transcriptome_FC_spatial_fold2_final_eval","0","gh010.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_left, model_dynamic_mlp, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","150","14760","","0.0001","","8.207835773509236","0.13066823059145","0.034205361681859746","0.7405185760094424","0.5087485782422609","7.978428456564355","0.01507473965159095","0.000482968427853545","0.9928503873631348","0.9856077056141936","0.0094345617108047","0.7406657735506693","0.001003322277135928","0.9663444769148734"
"shared_linear_encoder_transcriptome_FC_spatial_fold0_final_eval","1","gv005.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_linear_encoder, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","179","21520","0","0.0001924720295457837","","3.629748969246752","0.07471356416245142","0.009780735996913176","0.7340374534702871","0.178682052978818","8.123366153073569","0.08892377959742347","0.011048206752203702","0.8524043015362851","0.32546340273914176","0.009724961382082918","0.7340742999857123","0.004005212216972582","0.8791886822691242"
"dynamic_mlp_euclidean_SC_spatial_fold1_final_eval","1","gh008.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_1, parcellation_S100, split_spatial1, target_SC","150","6","","0.0001","","6.982430198915684","1.994017195362357","7.742134601377637","0.7259560639282244","0.47138878954672137","9.962464115741891","1.0270024657675942","4.319449094001647","0.7940123014562859","0.6129013173693583","0.1946089913447698","0.7270021438598633","0.11738046978054376","0.7601650480566353"
"bilinear_lowrank_transcriptome_FC_spatial_fold0_final_eval","1","gh015.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_bilinear_lowrank, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","150","10760","0.01","0.001","7","3.9616408298303263","0.05428513927190679","0.005819508033333396","0.7235625366449346","0.5113183310418423","8.719088755558039","0.08270522612501024","0.01180449545154307","0.5286904538082806","0.27928899477945524","0.02112548053264618","0.7229042053222656","0.027108634468810313","0.5280477579297691"
"shared_linear_encoder_transcriptome_FC_spatial_fold0_final_eval","1","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_linear_encoder, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","125","21520","0.0001","0.0001","","4.61176755804759","0.05476727076833017","0.006032483585173111","0.7225327891227329","0.493434130603562","8.648866814448057","0.06303237067439417","0.00745114839896329","0.770997579329065","0.5450780022993436","0.00715083737547199","0.7222523291905721","0.006286257396227327","0.8315560036692126"
"dynamic_mlp_euclidean_SC_spatial_fold1_final_eval","1","ga043.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_1, parcellation_S100, split_spatial1, target_SC","150","6","","0.0001","","7.234666867952174","1.929470492696904","8.020122877165997","0.702418090778596","0.4524085306746841","10.837883110918426","0.9257490624697098","3.655917606768697","0.8270159724928337","0.6723654200829455","0.18851554890473685","0.7010492483774821","0.10753224379029767","0.7913293160241226"
