Gene,Attention_Score
LOC729737,0.93699527
LINC01128,0.93699527
SAMD11,0.93699527
PERM1,0.93699527
HES4,0.93699527
ISG15,0.93699527
AGRN,0.93699527
TNFRSF4,0.93699527
B3GALT6,0.93699527
ACAP3,0.93699527
PUSL1,0.93699527
DVL1,0.93699527
MXRA8,0.93699527
CCNL2,0.93699527
ANKRD65,0.93699527
FNDC10,0.93699527
CDK11A,0.93699527
GABRD,0.93699527
RER1,0.93699527
PEX10,0.93699527
PLCH2,1.2087151
HES5,1.2087151
TNFRSF14,1.2087151
ARHGEF16,1.2087151
TPRG1L,1.2087151
AJAP1,1.2087151
CHD5,1.2087151
TNFRSF25,1.2087151
PLEKHG5,1.2087151
NOL9,1.2087151
PHF13,1.2087151
CAMTA1,1.2087151
PER3,1.2087151
ERRFI1,1.2087151
SLC45A1,1.2087151
ENO1,1.2087151
SLC2A5,1.2087151
SPSB1,1.2087151
TMEM201,1.2087151
PIK3CD,1.2087151
CLSTN1,1.1348939
CTNNBIP1,1.1348939
UBE4B,1.1348939
PGD,1.1348939
TARDBP,1.1348939
MASP2,1.1348939
SRM,1.1348939
FBXO2,1.1348939
FBXO44,1.1348939
DRAXIN,1.1348939
CLCN6,1.1348939
NPPA,1.1348939
NPPB,1.1348939
VPS13D,1.1348939
DHRS3,1.1348939
LRRC38,1.1348939
PDPN,1.1348939
PRDM2,1.1348939
KAZN,1.1348939
EFHD2,1.1348939
AGMAT,0.5976238
PLEKHM2,0.5976238
SLC25A34,0.5976238
UQCRHL,0.5976238
SRARP,0.5976238
SZRD1,0.5976238
CROCCP2,0.5976238
SDHB,0.5976238
RCC2,0.5976238
ARHGEF10L,0.5976238
IGSF21,0.5976238
ALDH4A1,0.5976238
IFFO2,0.5976238
MRTO4,0.5976238
AKR7L,0.5976238
AKR7A3,0.5976238
AKR7A2,0.5976238
CAPZB,0.5976238
UBXN10,0.5976238
CAMK2N1,0.5976238
FAM43B,0.85725576
PINK1,0.85725576
KIF17,0.85725576
SH2D5,0.85725576
NBPF3,0.85725576
ALPL,0.85725576
RAP1GAP,0.85725576
CDC42,0.85725576
WNT4,0.85725576
ZBTB40,0.85725576
C1QA,0.85725576
C1QC,0.85725576
C1QB,0.85725576
EPHB2,0.85725576
LUZP1,0.85725576
ZNF436,0.85725576
ZNF436-AS1,0.85725576
TCEA3,0.85725576
ASAP3,0.85725576
HMGCL,0.85725576
IFNLR1,1.1563668
STPG1,1.1563668
NIPAL3,1.1563668
RCAN3,1.1563668
SYF2,1.1563668
RSRP1,1.1563668
TMEM50A,1.1563668
MACO1,1.1563668
