"Name","final_test_metrics.pearson_r","Commit","Runtime","GitHub","Group","Notes","Tags","batch_size","dropout_rate","epochs","hidden_dims","learning_rate","weight_decay","best_val_loss","final_test_metrics.geodesic_distance","final_test_metrics.long_r","final_test_metrics.mae","final_test_metrics.mid_r","final_test_metrics.mse","final_test_metrics.r2","final_test_metrics.short_r","final_train_metrics.geodesic_distance","final_train_metrics.long_r","final_train_metrics.mae","final_train_metrics.mid_r","final_train_metrics.mse","final_train_metrics.pearson_r","final_train_metrics.r2","final_train_metrics.short_r","test_mse_loss","train_mse_loss"
"dynamic_mlp_transcriptome+euclidean_FC_random9_fold3_final_eval","0.829368071891033","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","4503","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_9u6h3fm2","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","256","0.1","100","[256,128]","0.00009","0.0001","0.014833125856467616","9.785207317159731","0.7613427823170933","0.0781732127070427","0.782221976605035","0.011577815748751163","0.6835206315612448","0.8571341684925577","15.62577666368566","0.9903295005653896","0.01768195815384388","0.99132680796687","0.0006531974067911506","0.9902553979167116","0.9801563149334528","0.9884577573303038","0.011478862441144884","0.0022159916034229753"
"dynamic_mlp_transcriptome+euclidean_FC_random9_fold2_final_eval","0.800046584593417","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","4138","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_m0u07vt2","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","256","0.1","75","[256,128]","0.00009","0.0001","0.01810623709039361","10.131749703448303","0.7384313557832354","0.0785083994269371","0.7709521534038852","0.012510458938777448","0.6388195201134542","0.8294356116469397","17.15948898025552","0.9876797319544584","0.020126258954405785","0.988446947959075","0.0007978929206728935","0.9883023102470104","0.9760683723317488","0.9868688047972308","0.01250989644733422","0.0022777249804280583"
"dynamic_mlp_transcriptome+euclidean_FC_random9_fold1_final_eval","0.7602797882462341","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","7638","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_mzvv3lmg","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","128","0.2","100","[512,256,128]","0.00009","0.0001","0.012044599890653596","9.10087699377562","0.6826313570095122","0.07621520757675171","0.7272536772458666","0.01267720852047205","0.5670269528800915","0.791770980684639","12.581577144729888","0.9906633699633838","0.017687363550066948","0.9920125079723218","0.0005540697602555156","0.992739999813182","0.9841222784252944","0.9929864254787726","0.012636031832149492","0.0022506793422797165"
"dynamic_mlp_transcriptome+euclidean_FC_random9_fold0_final_eval","0.8292281141636838","4a3c7e0682ca5f0ec5d25b3bdef89c7182faa223","4179","https://github.com/neuroinfolab/GeneEx2Conn/tree/4a3c7e0682ca5f0ec5d25b3bdef89c7182faa223","sweep_mzvv3lmg","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","256","0","75","[512,256,128]","0.0001","0","0.013842904470020942","9.568591692787743","0.7858298698443289","0.07241246849298477","0.8026106580067978","0.010766299441456796","0.6866485253009957","0.8509773421302997","11.419769714864833","0.9954056646621912","0.011928838677704334","0.9957921043660188","0.00023959131794981656","0.9964243974101736","0.9927567049665408","0.9968671269991324","0.010661327051838825","0.0005498294850655114"
"dynamic_mlp_transcriptome+euclidean_FC_random8_fold3_final_eval","0.7700875009109189","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","4940","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_rg147s02","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","256","0.1","100","[256,128]","0.00009","0.0001","0.015452007740261215","10.859768818103714","0.68980108885682","0.08086646348237991","0.7289989806539946","0.012516778893768787","0.5838430667197606","0.7883817761177688","15.323956099942354","0.9893408001315426","0.018894854933023453","0.9901455269828398","0.0007330621010623872","0.989707854568888","0.9787954045828162","0.98834978585907","0.01246302416548133","0.0022829389567241855"
"dynamic_mlp_transcriptome+euclidean_FC_random8_fold2_final_eval","0.7583188271543647","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","4180","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_7ozhlj5v","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","256","0.2","75","[256,128]","0.0001","0","0.015798554582265662","12.037090834979717","0.6749012831296269","0.08786803483963013","0.7125438717381073","0.015453137457370758","0.5732161378222793","0.7934893343882538","15.396607524349282","0.9780243917793364","0.02541373483836651","0.981067851717876","0.0013246325543150306","0.9803230047670362","0.9593795049428708","0.9782624539325796","0.015326244911799828","0.003671606587324185"
"dynamic_mlp_transcriptome+euclidean_FC_random8_fold1_final_eval","0.8562241264460866","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","2795","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_wcfli3wy","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","512","0.1","100","[512,256,128]","0.00009","0","0.01189195574261248","9.409019210854952","0.7950440957248663","0.0692063495516777","0.8415252102306124","0.009436854161322117","0.7306166597996611","0.8708634455559334","11.37845960631135","0.9933559123418868","0.01395503617823124","0.9941356530381784","0.0003427585179451853","0.9948078654138088","0.9895958981421452","0.9951386156946506","0.009303129027382683","0.0011726588422087912"
"dynamic_mlp_transcriptome+euclidean_FC_random8_fold0_final_eval","0.8335044191437904","4a3c7e0682ca5f0ec5d25b3bdef89c7182faa223","4137","https://github.com/neuroinfolab/GeneEx2Conn/tree/4a3c7e0682ca5f0ec5d25b3bdef89c7182faa223","sweep_wcfli3wy","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","512","0.1","100","[512,256,128]","0.00009","0","0.01189195574261248","10.870618121859696","0.7524066030952076","0.06957738846540451","0.8177546689468139","0.010106761939823627","0.6847173849380748","0.8411365221195825","12.7341485918953","0.993526630806838","0.014303630217909811","0.9940716151133532","0.00035976560320705175","0.9947664786299744","0.9893999523130907","0.9951858728637172","0.009876552467735914","0.001319355509317755"
"dynamic_mlp_transcriptome+euclidean_FC_random7_fold3_final_eval","0.7829932358644296","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","5257","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_3bfj436x","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random7, target_FC","128","0.3","100","[256,128]","0.00009","0","0.014676604894828974","12.438629305347654","0.7868165145143711","0.0805462896823883","0.7537529995426973","0.012692445889115334","0.6103907352207116","0.7936911328461346","19.19315225720194","0.9626538866278178","0.0349297858774662","0.9661803280929152","0.0027088052593171597","0.9637722219516248","0.9202737203117716","0.9596219134653764","0.012682780863322092","0.006492319382296205"
"dynamic_mlp_transcriptome+euclidean_FC_random7_fold2_final_eval","0.820971900384602","08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","5540","https://github.com/neuroinfolab/GeneEx2Conn/tree/08fdb690224e6aaa4eea0f719ef9d1e1e46d47b5","sweep_tffnss5p","-","binarize_False, cv_type_random, feature_type_transcriptome+euclidean, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_dynamic_mlp, null_model_none, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random7, target_FC","128","0.1","100","[256,128]","0.00009","0.0001","0.015477252137469182","10.52477174150495","0.7602411208232421","0.0804092288017273","0.7919398230855128","0.012050891295075417","0.670682304623743","0.8470274122585532","15.260993788475336","0.98977676248456","0.018656397238373756","0.990161341650419","0.0007130477461032569","0.9895460347232058","0.9778632947358528","0.9878716569593023","0.012024870972232064","0.0024280582692640653"
