gene_index,gene_id,chromosome,start_site,feature,strand
0,DDX11L1,NC_000001.11,11874,gene,+
1,WASH7P,NC_000001.11,14362,gene,-
1,FAM39F,NC_000001.11,14362,gene,-
2,MIR6859-1,NC_000001.11,17369,gene,-
2,hsa-mir-6859-1,NC_000001.11,17369,gene,-
3,MIR1302-2HG,NC_000001.11,29774,gene,+
4,MIR1302-2,NC_000001.11,30366,gene,+
4,hsa-mir-1302-2,NC_000001.11,30366,gene,+
5,FAM138A,NC_000001.11,34611,gene,-
5,F379,NC_000001.11,34611,gene,-
6,OR4G4P,NC_000001.11,52453,gene,+
7,OR4G11P,NC_000001.11,63016,gene,+
8,OR4F5,NC_000001.11,65419,gene,+
9,LOC124903816,NC_000001.11,95222,gene,+
10,LOC124900384,NC_000001.11,120849,gene,-
11,SEPTIN14P18,NC_000001.11,126642,gene,-
11,SEPT14P18,NC_000001.11,126642,gene,-
12,CICP27,NC_000001.11,131068,gene,+
13,LOC729737,NC_000001.11,134773,gene,-
14,RNU6-1100P,NC_000001.11,157784,gene,-
15,GTF2IP10,NC_000001.11,164689,gene,+
16,LOC124903814,NC_000001.11,177308,gene,-
17,DDX11L17,NC_000001.11,182388,gene,+
18,WASH9P,NC_000001.11,184916,gene,-
19,MIR6859-2,NC_000001.11,187891,gene,-
19,hsa-mir-6859-2,NC_000001.11,187891,gene,-
20,RPL23AP21,NC_000001.11,258511,gene,-
20,RPL23A_1_1,NC_000001.11,258511,gene,-
21,LOC127239154,NC_000001.11,262719,gene,-
22,LOC124903815,NC_000001.11,273223,gene,+
23,RPL23AP24,NC_000001.11,347969,gene,-
23,RPL23A_1_2,NC_000001.11,347969,gene,-
24,LOC124900618,NC_000001.11,350706,gene,-
25,LOC112268260,NC_000001.11,365134,gene,-
26,WBP1LP7,NC_000001.11,439764,gene,+
27,OR4F29,NC_000001.11,450740,gene,-
27,OR7-21,NC_000001.11,450740,gene,-
28,SEPTIN14P13,NC_000001.11,484833,gene,-
28,SEPT14P13,NC_000001.11,484833,gene,-
29,CICP7,NC_000001.11,487055,gene,+
30,LOC100132287,NC_000001.11,490756,gene,-
31,LOC124904706,NC_000001.11,516376,gene,-
32,LOC105378947,NC_000001.11,586287,gene,-
33,LOC101928626,NC_000001.11,627380,gene,-
34,MTND1P23,NC_000001.11,629062,gene,+
35,MTND2P28,NC_000001.11,629640,gene,+
36,MTCO1P12,NC_000001.11,631074,gene,+
37,MIR12136,NC_000001.11,632615,gene,-
38,MTCO2P12,NC_000001.11,632757,gene,+
38,COII,NC_000001.11,632757,gene,+
39,MTATP8P1,NC_000001.11,633535,gene,+
40,MTATP6P1,NC_000001.11,633696,gene,+
41,MTCO3P12,NC_000001.11,634376,gene,+
42,WBP1LP6,NC_000001.11,674743,gene,+
43,OR4F16,NC_000001.11,676076,gene,-
43,OR1-1,NC_000001.11,676076,gene,-
44,SEPTIN14P14,NC_000001.11,717621,gene,-
44,SEPT14P14,NC_000001.11,717621,gene,-
45,CICP3,NC_000001.11,722046,gene,+
46,LOC100288069,NC_000001.11,725759,gene,-
47,RNU6-1199P,NC_000001.11,758233,gene,-
48,LINC01409,NC_000001.11,778798,gene,+
49,LOC124903817,NC_000001.11,791598,gene,+
50,FAM87B,NC_000001.11,817371,gene,+
51,LINC00115,NC_000001.11,826206,gene,-
51,NCRNA00115,NC_000001.11,826206,gene,-
52,LINC01128,NC_000001.11,827591,gene,+
53,LOC107984850,NC_000001.11,860182,gene,+
54,FAM41C,NC_000001.11,868071,gene,-
55,TUBB8P11,NC_000001.11,873291,gene,+
56,LOC284600,NC_000001.11,904811,gene,+
57,LINC02593,NC_000001.11,916818,gene,-
58,LOC107985728,NC_000001.11,920243,gene,-
59,SAMD11,NC_000001.11,923923,gene,+
59,MRS,NC_000001.11,923923,gene,+
60,NOC2L,NC_000001.11,944203,gene,-
60,NET15,NC_000001.11,944203,gene,-
61,KLHL17,NC_000001.11,960584,gene,+
61,AF,NC_000001.11,960584,gene,+
62,PLEKHN1,NC_000001.11,966482,gene,+
62,CLPABP,NC_000001.11,966482,gene,+
63,PERM1,NC_000001.11,975198,gene,-
63,C1orf170,NC_000001.11,975198,gene,-
64,HES4,NC_000001.11,998964,gene,-
64,bHLHb42,NC_000001.11,998964,gene,-
65,RPL39P12,NC_000001.11,1008060,gene,-
65,RPL39_1_3,NC_000001.11,1008060,gene,-
66,ISG15,NC_000001.11,1013497,gene,+
66,G1P2,NC_000001.11,1013497,gene,+
67,AGRN,NC_000001.11,1020120,gene,+
67,AGRIN,NC_000001.11,1020120,gene,+
68,LOC100288175,NC_000001.11,1059734,gene,+
69,LOC105378948,NC_000001.11,1065635,gene,-
70,RNF223,NC_000001.11,1070967,gene,-
71,C1orf159,NC_000001.11,1081823,gene,-
72,LOC124903819,NC_000001.11,1122903,gene,-
73,LOC124903820,NC_000001.11,1128684,gene,+
74,LINC01342,NC_000001.11,1137017,gene,+
75,LOC124903818,NC_000001.11,1162877,gene,+
76,MIR200B,NC_000001.11,1167104,gene,+
76,mir-200b,NC_000001.11,1167104,gene,+
77,MIR200A,NC_000001.11,1167863,gene,+
77,mir-200a,NC_000001.11,1167863,gene,+
78,MIR429,NC_000001.11,1169005,gene,+
78,hsa-mir-429,NC_000001.11,1169005,gene,+
79,TTLL10-AS1,NC_000001.11,1173056,gene,-
80,TTLL10,NC_000001.11,1173880,gene,+
80,TTLL5,NC_000001.11,1173880,gene,+
81,TNFRSF18,NC_000001.11,1203508,gene,-
81,AITR,NC_000001.11,1203508,gene,-
82,TNFRSF4,NC_000001.11,1211340,gene,-
82,ACT35,NC_000001.11,1211340,gene,-
83,SDF4,NC_000001.11,1216931,gene,-
83,Cab45,NC_000001.11,1216931,gene,-
84,B3GALT6,NC_000001.11,1232237,gene,+
84,ALGAZ,NC_000001.11,1232237,gene,+
85,C1QTNF12,NC_000001.11,1242453,gene,-
85,C1QDC2,NC_000001.11,1242453,gene,-
86,UBE2J2,NC_000001.11,1253912,gene,-
86,NCUBE-2,NC_000001.11,1253912,gene,-
87,LINC01786,NC_000001.11,1274002,gene,+
88,SCNN1D,NC_000001.11,1280436,gene,+
88,dNaCh,NC_000001.11,1280436,gene,+
89,ACAP3,NC_000001.11,1292391,gene,-
89,CENTB5,NC_000001.11,1292391,gene,-
90,MIR6726,NC_000001.11,1296110,gene,-
90,hsa-mir-6726,NC_000001.11,1296110,gene,-
91,SNORD167,NC_000001.11,1304729,gene,-
92,PUSL1,NC_000001.11,1308597,gene,+
93,INTS11,NC_000001.11,1311600,gene,-
93,CPSF3L,NC_000001.11,1311600,gene,-
94,MIR6727,NC_000001.11,1312502,gene,-
94,hsa-mir-6727,NC_000001.11,1312502,gene,-
95,CPTP,NC_000001.11,1324802,gene,+
95,GLTPD1,NC_000001.11,1324802,gene,+
96,TAS1R3,NC_000001.11,1331280,gene,+
96,T1R3,NC_000001.11,1331280,gene,+
97,DVL1,NC_000001.11,1335278,gene,-
97,DRS2,NC_000001.11,1335278,gene,-
98,MIR6808,NC_000001.11,1339650,gene,-
98,hsa-mir-6808,NC_000001.11,1339650,gene,-
99,MXRA8,NC_000001.11,1352689,gene,-
99,ASP3,NC_000001.11,1352689,gene,-
100,AURKAIP1,NC_000001.11,1373736,gene,-
100,AIP,NC_000001.11,1373736,gene,-
101,NDUFB4P8,NC_000001.11,1378640,gene,+
102,CCNL2,NC_000001.11,1385711,gene,-
102,ANIA-6B,NC_000001.11,1385711,gene,-
103,MRPL20-AS1,NC_000001.11,1399530,gene,+
104,MRPL20,NC_000001.11,1401909,gene,-
104,bL20m,NC_000001.11,1401909,gene,-
105,RN7SL657P,NC_000001.11,1405460,gene,-
106,MRPL20-DT,NC_000001.11,1408348,gene,+
107,ANKRD65,NC_000001.11,1418420,gene,-
108,ANKRD65-AS1,NC_000001.11,1420166,gene,+
109,TMEM88B,NC_000001.11,1425871,gene,+
110,LINC01770,NC_000001.11,1430157,gene,-
111,LOC107985729,NC_000001.11,1433233,gene,+
112,VWA1,NC_000001.11,1435690,gene,+
112,HMNMYO,NC_000001.11,1435690,gene,+
113,ATAD3C,NC_000001.11,1449689,gene,+
114,ATAD3B,NC_000001.11,1471765,gene,+
114,AAA-TOB3,NC_000001.11,1471765,gene,+
115,ATAD3A,NC_000001.11,1512162,gene,+
115,HAYOS,NC_000001.11,1512162,gene,+
116,TMEM240,NC_000001.11,1534778,gene,-
116,C1orf70,NC_000001.11,1534778,gene,-
117,SSU72,NC_000001.11,1541673,gene,-
117,HSPC182,NC_000001.11,1541673,gene,-
118,FNDC10,NC_000001.11,1598012,gene,-
118,C1orf233,NC_000001.11,1598012,gene,-
119,LOC105378586,NC_000001.11,1599433,gene,+
120,MIB2,NC_000001.11,1613731,gene,+
120,ZZANK1,NC_000001.11,1613731,gene,+
121,LOC124903821,NC_000001.11,1624757,gene,-
122,MMP23B,NC_000001.11,1632173,gene,+
122,MIFR,NC_000001.11,1632173,gene,+
123,CDK11B,NC_000001.11,1635225,gene,-
123,CDC2L1,NC_000001.11,1635225,gene,-
124,SLC35E2B,NC_000001.11,1661478,gene,-
124,SLC35E2,NC_000001.11,1661478,gene,-
125,LOC100288379,NC_000001.11,1673283,gene,+
126,MMP23A,NC_000001.11,1699939,gene,+
126,MIFR,NC_000001.11,1699939,gene,+
127,CDK11A,NC_000001.11,1702379,gene,-
127,CDC2L2,NC_000001.11,1702379,gene,-
128,SLC35E2A,NC_000001.11,1727385,gene,-
128,SLC35E2,NC_000001.11,1727385,gene,-
129,LOC100129381,NC_000001.11,1735819,gene,+
130,LOC112268218,NC_000001.11,1745819,gene,+
131,NADK,NC_000001.11,1751232,gene,-
